station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
CYFO,2020-02-12 00:00,-101.6817,54.6781,304.00,-11.20,-22.00,57.64,10.00,10.00,0.00,29.95,1017.30,15.00,16.00,FEW,M,M,M,22000.00,M,M,M,DRSN,M,M,M,M,M,M,-31.21,CYFO 120000Z 01010G16KT 15SM DRSN FEW220 M24/M30 A2995 RMK CI2 LAST OBS/NEXT 121200UTC SLP173
CYIV,2020-02-12 00:00,-94.6537,53.8571,237.00,-13.00,-20.20,69.27,360.00,16.00,0.00,29.74,1009.60,6.00,23.00,FEW,M,M,M,1000.00,M,M,M,DRSN,M,M,M,M,M,M,-38.24,CYIV 120000Z 36016G23KT 6SM DRSN FEW010 M25/M29 A2974 RMK SC2 PRESRR SLP096
CYNE,2020-02-12 00:00,-97.8442,53.9583,223.00,-9.40,-18.40,63.59,10.00,11.00,0.00,29.84,1012.90,9.00,22.00,FEW,M,M,M,1700.00,M,M,M,M,M,M,M,M,M,M,-29.85,CYNE 120000Z AUTO 01011G22KT 9SM FEW017 M23/M28 A2984 RMK PRESRR SLP129
CYQD,2020-02-12 00:00,-101.0911,53.9714,271.00,-7.60,-18.40,58.23,360.00,10.00,0.00,29.91,1015.50,9.00,19.00,FEW,M,M,M,20000.00,M,M,M,M,M,M,M,M,M,M,-26.69,CYQD 120000Z AUTO 36010G19KT 9SM FEW200 M22/M28 A2991 RMK PRESRR SLP155
CYTH,2020-02-12 00:00,-97.8642,55.8011,218.00,-23.80,-32.80,61.39,340.00,9.00,0.00,29.96,1017.70,12.00,15.00,FEW,M,M,M,2000.00,M,M,M,IC DRSN,M,M,M,M,M,M,-45.87,CYTH 120000Z 34009G15KT 12SM IC DRSN FEW020 M31/M36 A2996 RMK SC1 SLP177
CYYL,2020-02-12 00:00,-101.0761,56.8639,357.00,-27.40,-34.60,67.31,330.00,8.00,0.00,30.03,1022.20,9.00,17.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-49.06,CYYL 120000Z AUTO 33008G17KT 9SM CLR M33/M37 A3003 RMK SLP222
CYYQ,2020-02-12 00:00,-94.0650,58.7392,29.00,-29.20,-36.40,67.05,340.00,24.00,0.00,29.96,1015.30,0.75,30.00,VV ,M,M,M,800.00,M,M,M,IC BLSN,M,M,M,M,M,M,-64.51,CYYQ 120000Z 34024G30KT 3/4SM IC BLSN VV008 M34/M38 A2996 RMK BLSN8 VIS VRB 1/2-1 SLP153
CZKD,2020-02-12 00:00,-96.5097,56.0375,183.00,-24.30,-31.20,68.87,340.00,9.00,0.01,M,1015.50,M,16.00,M,M,M,M,M,M,M,M,M,M,M,M,20.00,350.00,2020-02-11 23:19,-46.49,CZKD 120000Z AUTO 34009G16KT M31/M35 RMK AO1 2PAST HR SOG 51 3044 PK WND 35020/2319 SLP155 P0001 T13131351 50002
CYGX,2020-02-12 00:00,-94.7106,56.3575,145.00,-27.40,-36.40,60.82,340.00,11.00,0.00,29.90,1015.00,15.00,M,FEW,M,M,M,2800.00,M,M,M,M,M,M,M,M,M,M,-52.60,CYGX 120000Z 34011KT 15SM FEW028 M33/M38 A2990 RMK SC2 SLP150
CYBQ,2020-02-12 00:00,-98.5122,58.7061,281.00,-34.60,-43.60,59.63,320.00,9.00,0.00,30.00,1021.20,9.00,15.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-59.30,CYBQ 120000Z AUTO 32009G15KT 9SM CLR M37/M42 A3000 RMK SLP212
CYDN,2020-02-12 00:08,-100.0525,51.1008,305.00,26.60,19.40,73.89,20.00,11.00,0.00,29.61,1004.60,8.00,M,OVC,M,M,M,3600.00,M,M,M,-SN,M,M,M,M,M,M,15.64,CYDN 120008Z AUTO 02011KT 320V030 8SM -SN OVC036 M03/M07 A2961 RMK PRESRR SLP046
CYDN,2020-02-12 00:14,-100.0525,51.1008,305.00,26.60,21.20,79.77,10.00,12.00,0.00,29.61,1004.80,5.00,M,OVC,M,M,M,3200.00,M,M,M,-SN,M,M,M,M,M,M,15.13,CYDN 120014Z AUTO 01012KT 5SM -SN OVC032 M03/M06 A2961 RMK PRESRR SLP048
CYDN,2020-02-12 00:26,-100.0525,51.1008,305.00,26.60,23.00,86.07,20.00,22.00,0.00,29.63,1005.30,3.00,M,FEW,OVC,M,M,1700.00,2400.00,M,M,-SN,M,M,M,M,M,M,11.35,CYDN 120026Z AUTO 02022KT 3SM -SN FEW017 OVC024 M03/M05 A2963 RMK PRESRR SLP053
CYDN,2020-02-12 00:27,-100.0525,51.1008,305.00,26.60,21.20,79.77,20.00,21.00,0.00,29.63,1005.30,2.00,26.00,FEW,OVC,M,M,1700.00,2400.00,M,M,-SN,M,M,M,M,M,M,11.65,CYDN 120027Z AUTO 02021G26KT 2SM -SN FEW017 OVC024 M03/M06 A2963 RMK PRESRR SLP053
CYDN,2020-02-12 00:35,-100.0525,51.1008,305.00,23.00,19.40,85.85,10.00,22.00,0.00,29.64,1005.80,1.00,M,OVC,M,M,M,1600.00,M,M,M,-SN,M,M,M,M,M,M,6.53,CYDN 120035Z AUTO 01022KT 1SM -SN OVC016 M05/M07 A2964 RMK PRESRR SLP058
CYIV,2020-02-12 00:43,-94.6537,53.8571,237.00,-14.80,-22.00,69.03,350.00,13.00,0.00,29.77,1010.80,3.00,18.00,FEW,M,M,M,1000.00,M,M,M,-SN DRSN,M,M,M,M,M,M,-38.39,CYIV 120043Z 35013G18KT 3SM -SN DRSN FEW010 M26/M30 A2977 RMK SC2 PRESRR SLP108
CWWS,2020-02-12 01:00,-97.6164,52.8186,223.00,-4.20,-9.80,76.18,M,M,0.00,M,1012.10,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,CWWS 120100Z AUTO M20/M23 RMK AO1 32 0003Z PRESRR SOG 01 3066 SLP121 T12011232
CXMD,2020-02-12 01:00,-98.0839,49.1878,301.00,29.10,21.60,73.21,250.00,6.00,0.00,M,1003.60,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,22.04,CXMD 120100Z AUTO 25006KT M02/M06 RMK AO1 SOG 08 6012 SLP036 T10161058
CYWG,2020-02-12 01:00,-97.2333,49.9167,239.00,24.80,19.40,79.62,190.00,9.00,0.00,29.59,1003.80,15.00,M,OVC,M,M,M,9000.00,M,M,M,DRSN,M,M,M,M,M,M,14.56,CYWG 120100Z 19009KT 15SM DRSN OVC090 M04/M07 A2959 RMK AC8 VIRGA ALQDS SLP038
CWCF,2020-02-12 01:00,-97.0219,52.3597,222.00,3.90,-3.80,69.68,10.00,12.00,0.00,M,1008.90,M,19.00,M,M,M,M,M,M,M,M,M,M,M,M,19.00,350.00,2020-02-12 00:49,-13.76,CWCF 120100Z AUTO 01012G19KT M16/M20 RMK AO1 PRESRR SOG 27 1065 PK WND 35019/0049 SLP089 T11561199
CWEQ,2020-02-12 01:00,-101.2331,52.1150,335.00,8.40,3.90,81.47,40.00,19.00,0.00,M,1011.60,M,24.00,M,M,M,M,M,M,M,M,M,M,M,M,25.00,40.00,2020-02-12 00:19,-11.77,CWEQ 120100Z AUTO 04019G24KT M13/M16 RMK AO1 SOG 06 1070 PK WND 04025/0019 SLP116 T11311156
CWGX,2020-02-12 01:00,-94.7000,56.3667,145.00,-28.80,-37.80,60.59,360.00,11.00,0.00,M,1016.40,M,M,M,M,M,M,M,M,M,M,M,M,M,M,17.00,350.00,2020-02-12 00:25,-54.37,CWGX 120100Z AUTO 36011KT M34/M39 RMK AO1 SOG 32 1041 PK WND 35017/0025 SLP164 T13381388
CWII,2020-02-12 01:00,-96.5622,50.6951,220.00,24.60,18.90,78.59,250.00,7.00,0.00,M,1004.30,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,15.76,CWII 120100Z AUTO 25007KT M04/M07 RMK AO1 SLP043 T10411073 53010
CWJD,2020-02-12 01:00,-99.2678,53.1864,223.00,-5.40,-14.80,62.89,10.00,6.00,0.00,M,1015.10,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-19.51,CWJD 120100Z AUTO 01006KT M21/M26 RMK AO1 PRESRR SOG 45 3070 SLP151 T12081260
CWNK,2020-02-12 01:00,-98.0297,49.4981,268.00,28.90,22.60,77.00,M,M,0.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,CWNK 120100Z AUTO M02/M05 RMK AO1 T10171052
CWPO,2020-02-12 01:00,-98.9050,49.1911,470.00,26.20,21.70,82.84,230.00,5.00,0.00,M,1005.90,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,19.51,CWPO 120100Z AUTO 23005KT M03/M06 RMK AO1 SOG 17 5011 SLP059 T10321057
CXGH,2020-02-12 01:00,-96.9822,50.6311,217.00,27.10,18.30,69.05,290.00,4.00,0.00,M,1002.40,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,21.70,CXGH 120100Z AUTO 29004KT M03/M08 RMK AO1 SLP024 T10271076 52009
CXWN,2020-02-12 01:00,-97.1296,49.8885,230.00,26.60,19.90,75.48,210.00,4.00,0.00,M,1003.90,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,21.11,CXWN 120100Z AUTO 21004KT M03/M07 RMK AO1 SLP039 T10301067 56001
CYBR,2020-02-12 01:00,-99.9519,49.9100,409.00,24.80,19.40,79.62,310.00,8.00,0.00,29.57,1004.60,15.00,M,OVC,M,M,M,7100.00,M,M,M,M,M,M,M,M,M,M,15.24,CYBR 120100Z 31008KT 15SM OVC071 M04/M07 A2957 RMK AC8 SLP046
CYDN,2020-02-12 01:00,-100.0525,51.1008,305.00,17.60,15.80,92.50,20.00,31.00,0.00,29.67,1006.90,0.50,M,VV ,M,M,M,1200.00,M,M,M,-SN,M,M,M,M,M,M,-3.38,CYDN 120100Z AUTO 02031KT 1/2SM -SN VV012 M08/M09 A2967 RMK PRESRR SLP069
CYIV,2020-02-12 01:00,-94.6537,53.8571,237.00,-14.80,-22.00,69.03,350.00,17.00,0.00,29.79,1011.30,6.00,25.00,FEW,M,M,M,1000.00,M,M,M,-SN DRSN,M,M,M,M,M,M,-41.24,CYIV 120100Z 35017G25KT 6SM -SN DRSN FEW010 M26/M30 A2979 RMK SC2 PRESRR SLP113
CYNE,2020-02-12 01:00,-97.8442,53.9583,223.00,-13.00,-22.00,63.05,360.00,9.00,0.00,29.89,1014.80,9.00,17.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-32.44,CYNE 120100Z AUTO 36009G17KT 9SM CLR M25/M30 A2989 RMK SLP148
CYQD,2020-02-12 01:00,-101.0911,53.9714,271.00,-9.40,-20.20,57.94,360.00,12.00,0.00,29.98,1017.80,9.00,19.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-30.69,CYQD 120100Z AUTO 36012G19KT 9SM CLR M23/M29 A2998 RMK PRESRR SLP178
CYTH,2020-02-12 01:00,-97.8642,55.8011,218.00,-25.60,-34.60,61.10,330.00,8.00,0.00,30.00,1019.10,15.00,M,CLR,M,M,M,M,M,M,M,IC,M,M,M,M,M,M,-46.84,CYTH 120100Z 33008KT 15SM IC SKC M32/M37 A3000 RMK SLP191
CYYL,2020-02-12 01:00,-101.0761,56.8639,357.00,-27.40,-34.60,67.31,320.00,8.00,0.00,30.06,1023.40,9.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-49.06,CYYL 120100Z AUTO 32008KT 9SM CLR M33/M37 A3006 RMK SLP234
CYYQ,2020-02-12 01:00,-94.0650,58.7392,29.00,-31.00,-36.40,73.99,330.00,18.00,0.00,29.99,1016.10,1.00,24.00,VV ,M,M,M,700.00,M,M,M,IC BLSN,M,M,M,M,M,M,-63.18,CYYQ 120100Z 33018G24KT 1SM IC BLSN VV007 M35/M38 A2999 RMK BLSN8 SLP161
CYGX,2020-02-12 01:00,-94.7106,56.3575,145.00,-29.20,-36.40,67.05,340.00,10.00,0.00,29.94,1016.30,15.00,16.00,FEW,M,M,M,2800.00,M,M,M,M,M,M,M,M,M,M,-53.78,CYGX 120100Z 34010G16KT 15SM FEW028 M34/M38 A2994 RMK SC1 SLP163
CYBQ,2020-02-12 01:00,-98.5122,58.7061,281.00,-34.60,-43.60,59.63,330.00,11.00,0.00,30.01,1021.60,9.00,17.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-61.70,CYBQ 120100Z AUTO 33011G17KT 9SM CLR M37/M42 A3001 RMK SLP216
CYDN,2020-02-12 01:38,-100.0525,51.1008,305.00,14.00,12.20,92.38,30.00,24.00,0.00,29.74,1009.30,0.62,30.00,VV ,M,M,M,1000.00,M,M,M,-SN,M,M,M,M,M,M,-6.22,CYDN 120138Z AUTO 03024G30KT 5/8SM -SN VV010 M10/M11 A2974 RMK PRESRR SLP093
CWWS,2020-02-12 02:00,-97.6164,52.8186,223.00,-7.10,-12.50,76.64,M,M,0.00,M,1014.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,CWWS 120200Z AUTO M22/M25 RMK AO1 27 0123Z SOG 01 1063 SLP140 T12171247
CXMD,2020-02-12 02:00,-98.0839,49.1878,301.00,29.50,22.30,74.19,260.00,7.00,0.00,M,1003.70,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,21.73,CXMD 120200Z AUTO 26007KT M01/M05 RMK AO1 SOG 08 5006 SLP037 T10141054
CWCF,2020-02-12 02:00,-97.0219,52.3597,222.00,-2.70,-11.00,66.84,360.00,10.00,0.01,M,1011.60,M,17.00,M,M,M,M,M,M,M,M,M,M,M,M,20.00,10.00,2020-02-12 01:40,-20.55,CWCF 120200Z AUTO 36010G17KT M19/M24 RMK AO1 2PAST HR PRESRR SOG 27 3067 PK WND 01020/0140 SLP116 P0001 T11931239 50002
CWEQ,2020-02-12 02:00,-101.2331,52.1150,335.00,2.30,-3.30,76.84,40.00,20.00,0.00,M,1014.00,M,26.00,M,M,M,M,M,M,M,M,M,M,M,M,27.00,50.00,2020-02-12 01:35,-20.31,CWEQ 120200Z AUTO 04020G26KT M17/M20 RMK AO1 PRESRR SOG 07 1067 PK WND 05027/0135 SLP140 T11651196
CWGX,2020-02-12 02:00,-94.7000,56.3667,145.00,-29.60,-38.40,61.15,340.00,10.00,0.00,M,1017.30,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-54.28,CWGX 120200Z AUTO 34010KT M34/M39 RMK AO1 SOG 32 1035 SLP173 T13421391
CWII,2020-02-12 02:00,-96.5622,50.6951,220.00,22.30,19.90,90.33,320.00,9.00,0.00,M,1005.60,M,23.00,M,M,M,M,M,M,M,M,M,M,M,M,23.00,350.00,2020-02-12 01:59,11.45,CWII 120200Z AUTO 32009G23KT M05/M07 RMK AO1 PK WND 35023/0159 SLP056 T10541067 53019
CWJD,2020-02-12 02:00,-99.2678,53.1864,223.00,-9.00,-18.80,61.08,10.00,6.00,0.00,M,1017.60,M,M,M,M,M,M,M,M,M,M,M,M,M,M,18.00,10.00,2020-02-12 01:48,-23.85,CWJD 120200Z AUTO 01006KT M23/M28 RMK AO1 PRESRR SOG 45 1075 PK WND 01018/0148 SLP176 T12281282
CWNK,2020-02-12 02:00,-98.0297,49.4981,268.00,31.10,23.40,72.81,M,M,0.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,CWNK 120200Z AUTO M01/M05 RMK AO1 T10051048
CWPO,2020-02-12 02:00,-98.9050,49.1911,470.00,26.20,22.60,86.04,250.00,4.00,0.00,M,1005.80,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,20.65,CWPO 120200Z AUTO 25004KT M03/M05 RMK AO1 SOG 18 6003 SLP058 T10321052
CXGH,2020-02-12 02:00,-96.9822,50.6311,217.00,23.00,19.80,87.33,350.00,9.00,0.00,M,1003.90,M,27.00,M,M,M,M,M,M,M,M,M,M,M,M,27.00,0.00,2020-02-12 01:59,12.32,CXGH 120200Z AUTO 35009G27KT M05/M07 RMK AO1 PK WND 00027/0159 SLP039 T10501068 53021
CXWN,2020-02-12 02:00,-97.1296,49.8885,230.00,26.60,20.10,76.13,210.00,4.00,0.00,M,1004.50,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,21.11,CXWN 120200Z AUTO 21004KT M03/M07 RMK AO1 SLP045 T10301066 53008
CYBR,2020-02-12 02:00,-99.9519,49.9100,409.00,24.80,19.40,79.62,330.00,10.00,0.00,29.60,1005.40,15.00,M,OVC,M,M,M,3900.00,M,M,M,M,M,M,M,M,M,M,13.94,CYBR 120200Z 33010KT 15SM OVC039 M04/M07 A2960 RMK SC8 SLP054
CYDN,2020-02-12 02:00,-100.0525,51.1008,305.00,12.20,10.40,92.32,40.00,23.00,0.00,29.77,1010.30,0.75,28.00,VV ,M,M,M,1000.00,M,M,M,-SN BLSN,M,M,M,M,M,M,-8.30,CYDN 120200Z AUTO 04023G28KT 3/4SM -SN BLSN VV010 M11/M12 A2977 RMK PRESRR SLP103
CYIV,2020-02-12 02:00,-94.6537,53.8571,237.00,-18.40,-27.40,62.24,350.00,16.00,0.00,29.85,1013.60,6.00,24.00,FEW,M,M,M,1000.00,M,M,M,BLSN,M,M,M,M,M,M,-45.27,CYIV 120200Z 35016G24KT 6SM BLSN FEW010 M28/M33 A2985 RMK SC1 PRESRR SLP136
CYNE,2020-02-12 02:00,-97.8442,53.9583,223.00,-16.60,-25.60,62.51,360.00,10.00,0.00,29.95,1016.90,9.00,16.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-37.98,CYNE 120200Z AUTO 36010G16KT 330V040 9SM CLR M27/M32 A2995 RMK PRESRR SLP169
CYQD,2020-02-12 02:00,-101.0911,53.9714,271.00,-13.00,-22.00,63.05,350.00,8.00,0.00,30.03,1019.90,9.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-31.32,CYQD 120200Z AUTO 35008KT 9SM CLR M25/M30 A3003 RMK PRESRR SLP199
CYTH,2020-02-12 02:00,-97.8642,55.8011,218.00,-25.60,-34.60,61.10,330.00,7.00,0.00,30.04,1020.50,15.00,M,CLR,M,M,M,M,M,M,M,IC DRSN,M,M,M,M,M,M,-45.43,CYTH 120200Z 33007KT 15SM IC DRSN SKC M32/M37 A3004 RMK SLP205
CYYL,2020-02-12 02:00,-101.0761,56.8639,357.00,-27.40,-34.60,67.31,330.00,12.00,0.00,30.09,1024.60,9.00,18.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-53.60,CYYL 120200Z AUTO 33012G18KT 9SM CLR M33/M37 A3009 RMK SLP246
CYYQ,2020-02-12 02:00,-94.0650,58.7392,29.00,-29.20,-36.40,67.05,330.00,19.00,0.00,30.00,1016.40,1.00,26.00,OVC,M,M,M,800.00,M,M,M,IC BLSN,M,M,M,M,M,M,-61.49,CYYQ 120200Z 33019G26KT 1SM IC BLSN OVC008 M34/M38 A3000 RMK SC8 SLP164
CYGX,2020-02-12 02:00,-94.7106,56.3575,145.00,-31.00,-38.20,66.79,330.00,9.00,0.00,29.96,1017.20,15.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-54.82,CYGX 120200Z 33009KT 15SM SKC M35/M39 A2996 RMK SLP172
CYBQ,2020-02-12 02:00,-98.5122,58.7061,281.00,-34.60,-41.80,66.26,320.00,13.00,0.00,30.02,1022.00,9.00,20.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-63.75,CYBQ 120200Z AUTO 32013G20KT 9SM CLR M37/M41 A3002 RMK SLP220
CYWG,2020-02-12 02:05,-97.2333,49.9167,239.00,24.80,19.40,79.62,200.00,7.00,0.00,29.61,1004.50,15.00,M,OVC,M,M,M,5200.00,M,M,M,-SN DRSN,M,M,M,M,M,M,16.00,CYWG 120205Z 20007KT 15SM -SN DRSN OVC052 M04/M07 A2961 RMK SC8 SLP045
CYBR,2020-02-12 02:08,-99.9519,49.9100,409.00,24.80,19.40,79.62,330.00,11.00,0.00,29.60,1005.40,15.00,M,OVC,M,M,M,2900.00,M,M,M,-SN,M,M,M,M,M,M,13.37,CYBR 120208Z 33011KT 15SM -SN OVC029 M04/M07 A2960 RMK SC8 SLP054
CYWG,2020-02-12 02:29,-97.2333,49.9167,239.00,24.80,19.40,79.62,210.00,5.00,0.00,29.61,1004.60,2.50,M,OVC,M,M,M,2300.00,M,M,M,-SN DRSN,M,M,M,M,M,M,17.84,CYWG 120229Z 21005KT 2 1/2SM -SN DRSN OVC023 M04/M07 A2961 RMK SN2SC6 SLP046
CYDN,2020-02-12 02:52,-100.0525,51.1008,305.00,10.40,6.80,85.05,30.00,22.00,0.00,29.82,1012.40,0.75,28.00,VV ,M,M,M,1000.00,M,M,M,-SN BLSN,M,M,M,M,M,M,-10.35,CYDN 120252Z AUTO 03022G28KT 3/4SM -SN BLSN VV010 M12/M14 A2982 RMK PRESRR SLP124
CYWG,2020-02-12 02:53,-97.2333,49.9167,239.00,24.80,21.20,85.96,220.00,3.00,0.00,29.61,1004.70,5.00,M,OVC,M,M,M,6100.00,M,M,M,-SN DRSN,M,M,M,M,M,M,20.46,CYWG 120253Z 22003KT 5SM -SN DRSN OVC061 M04/M06 A2961 RMK SC8 SLP047
CWWS,2020-02-12 03:00,-97.6164,52.8186,223.00,-10.80,-16.40,75.48,M,M,0.00,M,1016.20,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,CWWS 120300Z AUTO M24/M27 RMK AO1 30 0245Z PRESRR SOG 01 1061 SLP162 T12381269
CXMD,2020-02-12 03:00,-98.0839,49.1878,301.00,29.10,24.40,82.36,290.00,5.00,0.00,M,1004.20,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,22.95,CXMD 120300Z AUTO 29005KT M02/M04 RMK AO1 SOG 08 3004 SLP042 T10161042
CYWG,2020-02-12 03:00,-97.2333,49.9167,239.00,24.80,21.20,85.96,240.00,2.00,0.00,29.62,1004.70,6.00,M,OVC,M,M,M,6900.00,M,M,M,-SN,M,M,M,M,M,M,M,CYWG 120300Z 24002KT 6SM -SN OVC069 M04/M06 A2962 RMK AC8 SLP047
CWCF,2020-02-12 03:00,-97.0219,52.3597,222.00,-6.00,-15.90,61.22,360.00,11.00,0.00,M,1013.50,M,19.00,M,M,M,M,M,M,M,M,M,M,M,M,23.00,20.00,2020-02-12 02:10,-25.56,CWCF 120300Z AUTO 36011G19KT M21/M27 RMK AO1 SOG 27 1065 PK WND 02023/0210 SLP135 T12111266 50002
