station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
D55,2020-02-12 00:15,-98.3937,48.7531,490.00,24.80,23.00,92.74,200.00,15.00,0.00,29.57,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,11.45,KD55 120015Z AUTO 20015KT 10SM CLR M04/M05 A2957 RMK AO2
20U,2020-02-12 00:15,-103.9821,46.9252,840.00,32.00,23.00,69.04,260.00,16.00,0.00,29.63,M,9.00,21.00,FEW,SCT,OVC,M,3100.00,3900.00,5000.00,M,-UP,M,M,M,M,M,M,20.42,K20U 120015Z AUTO 26016G21KT 9SM -UP FEW031 SCT039 OVC050 00/M05 A2963 RMK AO2
RUG,2020-02-12 00:15,-100.0243,48.3904,471.00,28.40,23.00,79.92,240.00,9.00,0.00,29.58,M,10.00,14.00,OVC,M,M,M,8500.00,M,M,M,M,M,M,M,M,M,M,19.04,KRUG 120015Z AUTO 24009G14KT 10SM OVC085 M02/M05 A2958 RMK AO2
Y19,2020-02-12 00:15,-100.8944,46.7680,592.00,32.00,23.00,69.04,230.00,11.00,0.00,29.65,M,10.00,M,SCT,M,M,M,9000.00,M,M,M,M,M,M,M,M,M,M,22.47,KY19 120015Z AUTO 23011KT 10SM SCT090 M00/M05 A2965 RMK AO2
S25,2020-02-12 00:15,-103.2552,47.7966,642.00,30.20,28.40,92.92,250.00,11.00,0.00,29.60,M,5.00,M,FEW,SCT,BKN,M,900.00,2300.00,4100.00,M,-UP,M,M,M,M,M,M,20.19,KS25 120015Z AUTO 25011KT 5SM -UP FEW009 SCT023 BKN041 M01/M02 A2960 RMK AO2
08D,2020-02-12 00:15,-102.4064,48.3008,682.00,30.20,24.80,80.07,260.00,13.00,0.00,29.57,M,10.00,M,BKN,BKN,OVC,M,2500.00,3400.00,4700.00,M,M,M,M,M,M,M,M,19.26,K08D 120015Z AUTO 26013KT 10SM BKN025 BKN034 OVC047 M01/M04 A2957 RMK AO2
BAC,2020-02-12 00:15,-98.0180,46.9412,427.30,28.40,23.00,79.92,200.00,19.00,0.00,29.70,M,10.00,25.00,CLR,M,M,M,M,M,M,M,-SN,M,M,M,M,M,M,14.68,KBAC 120015Z AUTO 20019G25KT 10SM -SN CLR M02/M05 A2970 RMK AO2
2D5,2020-02-12 00:15,-98.0799,46.1731,407.00,24.80,21.20,85.96,190.00,18.00,0.00,29.76,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,10.27,K2D5 120015Z AUTO 19018KT 10SM M04/M06 A2976 RMK AO2
5H4,2020-02-12 00:15,-99.9317,47.7912,489.00,28.40,23.00,79.92,210.00,9.00,0.00,29.62,M,10.00,M,SCT,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,19.04,K5H4 120015Z AUTO 21009KT 10SM SCT100 M02/M05 A2962 RMK AO2
96D,2020-02-12 00:15,-97.9028,48.9406,287.00,30.20,21.20,68.83,190.00,12.00,0.00,29.59,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,19.71,K96D 120015Z AUTO 19012KT 10SM OVC100 M01/M06 A2959 RMK AO2
GWR,2020-02-12 00:15,-97.6435,46.2187,385.00,24.80,23.00,92.74,210.00,16.00,0.00,29.77,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,11.03,KGWR 120015Z AUTO 21016KT 10SM CLR M04/M05 A2977 RMK A01
S32,2020-02-12 00:15,-98.1059,47.4228,434.00,26.60,26.60,100.00,190.00,13.00,0.00,29.66,M,10.00,M,BKN,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,14.65,KS32 120015Z AUTO 19013KT 10SM BKN120 M03/M03 A2966 RMK AO2
XWA,2020-02-12 00:30,-103.7505,48.2597,710.85,30.00,27.00,88.44,250.00,9.00,0.01,29.58,M,2.50,M,OVC,M,M,M,4000.00,M,M,M,-SN BR,M,M,M,M,M,M,21.03,KXWA 120030Z AUTO 25009KT 2 1/2SM -SN BR OVC040 M01/M03 A2958 RMK AO2 SNB12 P0001 T10111028 TSNO $
BWP,2020-02-12 00:35,-96.6074,46.2441,294.70,28.40,21.20,74.08,180.00,13.00,0.00,29.81,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,16.96,KBWP 120035Z AUTO 18013KT 10SM M02/M06 A2981 RMK AO1
46D,2020-02-12 00:35,-99.1513,47.4511,489.80,30.20,23.00,74.26,220.00,19.00,0.00,29.63,M,10.00,25.00,OVC,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,17.06,K46D 120035Z AUTO 22019G25KT 10SM OVC120 M01/M05 A2963 RMK AO2
7L2,2020-02-12 00:35,-100.2456,46.2206,541.00,30.20,21.20,68.83,200.00,16.00,0.00,29.69,M,10.00,M,SCT,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,18.07,K7L2 120035Z AUTO 20016KT 10SM SCT110 M01/M06 A2969 RMK AO2
GAF,2020-02-12 00:35,-97.3709,48.4047,251.00,28.40,23.00,79.92,190.00,10.00,0.00,29.66,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,18.45,KGAF 120035Z AUTO 19010KT 10SM CLR M02/M05 A2966 RMK AO2
9D7,2020-02-12 00:35,-99.2364,48.4800,451.00,28.40,28.40,100.00,210.00,8.00,0.00,29.60,M,10.00,M,BKN,OVC,M,M,7500.00,10000.00,M,M,M,M,M,M,M,M,M,19.68,K9D7 120035Z AUTO 21008KT 10SM BKN075 OVC100 M02/M02 A2960 RMK AO2
HZE,2020-02-12 00:35,-101.5810,47.2899,552.00,33.80,24.80,69.25,250.00,8.00,0.00,29.64,M,10.00,M,SCT,BKN,OVC,M,3100.00,3600.00,9000.00,M,M,M,M,M,M,M,M,26.33,KHZE 120035Z AUTO 25008KT 10SM SCT031 BKN036 OVC090 01/M04 A2964 RMK AO2
D50,2020-02-12 00:35,-103.2973,48.9285,594.00,28.40,28.40,100.00,260.00,11.00,0.00,29.58,M,2.00,16.00,BKN,BKN,OVC,M,300.00,1000.00,2600.00,M,-SN,M,M,M,M,M,M,17.92,KD50 120035Z AUTO 26011G16KT 2SM -SN BKN003 BKN010 OVC026 M02/M02 A2958 RMK AO2
D60,2020-02-12 00:35,-102.8974,48.3803,690.00,30.20,28.40,92.92,250.00,10.00,0.00,29.59,M,7.00,M,FEW,M,M,M,3100.00,M,M,M,M,M,M,M,M,M,M,20.71,KD60 120035Z AUTO 25010KT 7SM FEW031 M01/M02 A2959 RMK AO2
06D,2020-02-12 00:35,-99.6208,48.8844,555.00,28.40,21.20,74.08,220.00,9.00,0.00,29.54,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,M,M,M,M,M,M,19.04,K06D 120035Z AUTO 22009KT 10SM OVC070 M02/M06 A2954 RMK AO2
2C8,2020-02-12 00:35,-97.6320,48.7837,272.00,28.40,21.20,74.08,210.00,11.00,0.00,29.61,M,10.00,16.00,OVC,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,17.92,K2C8 120035Z AUTO 21011G16KT 10SM OVC100 M02/M06 A2961 RMK AO2
D55,2020-02-12 00:35,-98.3937,48.7531,490.00,26.60,23.00,86.07,200.00,13.00,0.00,29.58,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,14.65,KD55 120035Z AUTO 20013KT 10SM CLR M03/M05 A2958 RMK AO2
20U,2020-02-12 00:35,-103.9821,46.9252,840.00,30.20,26.60,86.28,260.00,13.00,0.00,29.63,M,4.00,19.00,FEW,SCT,BKN,M,1700.00,2800.00,3300.00,M,-SN,M,M,M,M,M,M,19.26,K20U 120035Z AUTO 26013G19KT 4SM -SN FEW017 SCT028 BKN033 M01/M03 A2963 RMK AO2
RUG,2020-02-12 00:35,-100.0243,48.3904,471.00,28.40,23.00,79.92,230.00,9.00,0.00,29.57,M,10.00,M,BKN,BKN,OVC,M,6000.00,7500.00,9000.00,M,M,M,M,M,M,M,M,19.04,KRUG 120035Z AUTO 23009KT 10SM BKN060 BKN075 OVC090 M02/M05 A2957 RMK AO2
Y19,2020-02-12 00:35,-100.8944,46.7680,592.00,32.00,23.00,69.04,230.00,9.00,0.00,29.64,M,10.00,M,BKN,BKN,M,M,8500.00,11000.00,M,M,M,M,M,M,M,M,M,23.51,KY19 120035Z AUTO 23009KT 10SM BKN085 BKN110 M00/M05 A2964 RMK AO2
S25,2020-02-12 00:35,-103.2552,47.7966,642.00,30.20,28.40,92.92,250.00,9.00,0.00,29.60,M,4.00,M,FEW,BKN,BKN,M,900.00,1500.00,1900.00,M,-SN,M,M,M,M,M,M,21.28,KS25 120035Z AUTO 25009KT 4SM -SN FEW009 BKN015 BKN019 M01/M02 A2960 RMK AO2
08D,2020-02-12 00:35,-102.4064,48.3008,682.00,30.20,24.80,80.07,260.00,13.00,0.00,29.58,M,10.00,M,SCT,BKN,OVC,M,2400.00,7000.00,9000.00,M,M,M,M,M,M,M,M,19.26,K08D 120035Z AUTO 26013KT 10SM SCT024 BKN070 OVC090 M01/M04 A2958 RMK AO2
BAC,2020-02-12 00:35,-98.0180,46.9412,427.30,26.60,23.00,86.07,200.00,19.00,0.00,29.69,M,10.00,24.00,CLR,M,M,M,M,M,M,M,-SN,M,M,M,M,M,M,12.30,KBAC 120035Z AUTO 20019G24KT 10SM -SN CLR M03/M05 A2969 RMK AO2
2D5,2020-02-12 00:35,-98.0799,46.1731,407.00,24.80,21.20,85.96,190.00,15.00,0.00,29.75,M,10.00,21.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,11.45,K2D5 120035Z AUTO 19015G21KT 10SM M04/M06 A2975 RMK AO2
5H4,2020-02-12 00:35,-99.9317,47.7912,489.00,28.40,23.00,79.92,220.00,9.00,0.00,29.61,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,19.04,K5H4 120035Z AUTO 22009KT 10SM OVC100 M02/M05 A2961 RMK AO2
96D,2020-02-12 00:35,-97.9028,48.9406,287.00,30.20,21.20,68.83,200.00,13.00,0.00,29.59,M,10.00,19.00,FEW,OVC,M,M,8000.00,10000.00,M,M,M,M,M,M,M,M,M,19.26,K96D 120035Z AUTO 20013G19KT 10SM FEW080 OVC100 M01/M06 A2959 RMK AO2
GWR,2020-02-12 00:35,-97.6435,46.2187,385.00,26.60,23.00,86.07,210.00,18.00,0.00,29.76,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,12.64,KGWR 120035Z AUTO 21018KT 10SM CLR M03/M05 A2976 RMK A01
S32,2020-02-12 00:35,-98.1059,47.4228,434.00,28.40,26.60,92.86,200.00,12.00,0.00,29.66,M,10.00,18.00,OVC,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,17.42,KS32 120035Z AUTO 20012G18KT 10SM OVC120 M02/M03 A2966 RMK AO2
XWA,2020-02-12 00:38,-103.7505,48.2597,710.85,30.00,27.00,88.44,240.00,8.00,0.01,29.58,M,3.00,M,SCT,OVC,M,M,1400.00,4200.00,M,M,-SN BR,M,M,M,M,M,M,21.65,KXWA 120038Z AUTO 24008KT 3SM -SN BR SCT014 OVC042 M01/M03 A2958 RMK AO2 SNB12 P0001 T10111028 TSNO $
BIS,2020-02-12 00:52,-100.7458,46.7727,506.00,33.10,21.90,63.06,220.00,8.00,0.00,29.65,1006.40,10.00,M,BKN,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,25.47,KBIS 120052Z 22008KT 10SM BKN110 01/M06 A2965 RMK AO2 SLP064 T00061056
N60,2020-02-12 00:52,-101.4394,47.6458,587.00,30.90,21.90,68.91,260.00,10.00,0.00,29.60,1005.20,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,21.59,KN60 120052Z AUTO 26010KT M01/M06 A2960 RMK AO1 SLP052 T10061056
XWA,2020-02-12 00:52,-103.7505,48.2597,710.85,30.00,27.00,88.44,250.00,8.00,0.01,29.58,989.30,2.50,M,FEW,SCT,OVC,M,700.00,1400.00,3600.00,M,-SN BR,M,M,M,M,M,M,21.65,KXWA 120052Z AUTO 25008KT 2 1/2SM -SN BR FEW007 SCT014 OVC036 M01/M03 A2958 RMK AO2 SNB12 SLP893 P0001 T10111028 TSNO $
HEI,2020-02-12 00:53,-102.6560,46.0149,828.00,30.90,21.00,66.34,240.00,8.00,0.00,29.66,1008.50,10.00,M,BKN,BKN,OVC,M,5500.00,7500.00,8500.00,M,M,M,M,M,M,M,M,22.76,KHEI 120053Z AUTO 24008KT 10SM BKN055 BKN075 OVC085 M01/M06 A2966 RMK AO2 SLP085 T10061061
FAR,2020-02-12 00:53,-96.8111,46.9253,274.00,26.10,19.90,77.06,180.00,16.00,0.00,29.74,1008.50,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,12.73,KFAR 120053Z 18016KT 10SM CLR M03/M07 A2974 RMK AO2 SLP085 T10331067
GFK,2020-02-12 00:53,-97.1761,47.9492,257.00,25.00,19.90,80.66,180.00,10.00,0.00,29.67,1006.30,10.00,M,BKN,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,14.19,KGFK 120053Z 18010KT 10SM BKN110 M04/M07 A2967 RMK AO2 SLP063 T10391067
MOT,2020-02-12 00:54,-101.2803,48.2594,523.00,34.00,21.90,60.83,250.00,11.00,0.00,29.58,1004.10,10.00,M,BKN,OVC,M,M,3400.00,5000.00,M,M,M,M,M,M,M,M,M,24.99,KMOT 120054Z 25011KT 10SM BKN034 OVC050 01/M06 A2958 RMK AO2 SLP041 T00111056
BWP,2020-02-12 00:55,-96.6074,46.2441,294.70,26.60,19.40,73.89,170.00,11.00,0.00,29.81,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,15.64,KBWP 120055Z AUTO 17011KT 10SM M03/M07 A2981 RMK AO1
46D,2020-02-12 00:55,-99.1513,47.4511,489.80,30.20,23.00,74.26,220.00,16.00,0.00,29.63,M,10.00,M,SCT,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,18.07,K46D 120055Z AUTO 22016KT 10SM SCT120 M01/M05 A2963 RMK AO2
7L2,2020-02-12 00:55,-100.2456,46.2206,541.00,30.20,21.20,68.83,200.00,15.00,0.00,29.69,M,10.00,M,BKN,OVC,M,M,10000.00,12000.00,M,M,M,M,M,M,M,M,M,18.45,K7L2 120055Z AUTO 20015KT 10SM BKN100 OVC120 M01/M06 A2969 RMK AO2
GAF,2020-02-12 00:55,-97.3709,48.4047,251.00,26.60,23.00,86.07,180.00,8.00,0.00,29.65,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,17.46,KGAF 120055Z AUTO 18008KT 10SM CLR M03/M05 A2965 RMK AO2
9D7,2020-02-12 00:55,-99.2364,48.4800,451.00,26.60,26.60,100.00,210.00,7.00,0.00,29.60,M,10.00,M,FEW,OVC,M,M,7000.00,10000.00,M,M,M,M,M,M,M,M,M,18.20,K9D7 120055Z AUTO 21007KT 10SM FEW070 OVC100 M03/M03 A2960 RMK AO2
HZE,2020-02-12 00:55,-101.5810,47.2899,552.00,33.80,23.00,64.23,260.00,11.00,0.00,29.64,M,10.00,19.00,OVC,M,M,M,2900.00,M,M,M,M,M,M,M,M,M,M,24.74,KHZE 120055Z AUTO 26011G19KT 10SM OVC029 01/M05 A2964 RMK AO2
D50,2020-02-12 00:55,-103.2973,48.9285,594.00,28.40,28.40,100.00,260.00,10.00,0.00,29.58,M,3.00,M,BKN,OVC,M,M,500.00,2300.00,M,M,-SN,M,M,M,M,M,M,18.45,KD50 120055Z AUTO 26010KT 3SM -SN BKN005 OVC023 M02/M02 A2958 RMK AO2
D60,2020-02-12 00:55,-102.8974,48.3803,690.00,30.20,28.40,92.92,260.00,11.00,0.00,29.59,M,8.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,20.19,KD60 120055Z AUTO 26011KT 8SM CLR M01/M02 A2959 RMK AO2
06D,2020-02-12 00:55,-99.6208,48.8844,555.00,28.40,21.20,74.08,220.00,6.00,0.00,29.54,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,M,M,M,M,M,M,21.19,K06D 120055Z AUTO 22006KT 10SM OVC075 M02/M06 A2954 RMK AO2
2C8,2020-02-12 00:55,-97.6320,48.7837,272.00,28.40,21.20,74.08,220.00,13.00,0.00,29.60,M,10.00,M,BKN,OVC,M,M,7500.00,10000.00,M,M,M,M,M,M,M,M,M,16.96,K2C8 120055Z AUTO 22013KT 10SM BKN075 OVC100 M02/M06 A2960 RMK AO2
D55,2020-02-12 00:55,-98.3937,48.7531,490.00,24.80,23.00,92.74,200.00,13.00,0.00,29.57,M,10.00,M,FEW,M,M,M,9000.00,M,M,M,M,M,M,M,M,M,M,12.34,KD55 120055Z AUTO 20013KT 10SM FEW090 M04/M05 A2957 RMK AO2
20U,2020-02-12 00:55,-103.9821,46.9252,840.00,30.20,28.40,92.92,250.00,11.00,0.00,29.63,M,7.00,16.00,SCT,BKN,OVC,M,1400.00,1800.00,7500.00,M,-SN,M,M,M,M,M,M,20.19,K20U 120055Z AUTO 25011G16KT 7SM -SN SCT014 BKN018 OVC075 M01/M02 A2963 RMK AO2
RUG,2020-02-12 00:55,-100.0243,48.3904,471.00,28.40,23.00,79.92,230.00,10.00,0.00,29.57,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,18.45,KRUG 120055Z AUTO 23010KT 10SM M02/M05 A2957 RMK AO2
Y19,2020-02-12 00:55,-100.8944,46.7680,592.00,30.20,23.00,74.26,230.00,9.00,0.00,29.64,M,10.00,M,BKN,BKN,M,M,9500.00,12000.00,M,M,M,M,M,M,M,M,M,21.28,KY19 120055Z AUTO 23009KT 10SM BKN095 BKN120 M01/M05 A2964 RMK AO2
S25,2020-02-12 00:55,-103.2552,47.7966,642.00,30.20,28.40,92.92,240.00,7.00,0.00,29.60,M,8.00,M,FEW,BKN,OVC,M,1300.00,2100.00,2800.00,M,M,M,M,M,M,M,M,22.59,KS25 120055Z AUTO 24007KT 8SM FEW013 BKN021 OVC028 M01/M02 A2960 RMK AO2
08D,2020-02-12 00:55,-102.4064,48.3008,682.00,30.20,26.60,86.28,270.00,11.00,0.00,29.58,M,10.00,17.00,FEW,BKN,OVC,M,4000.00,7500.00,9500.00,M,M,M,M,M,M,M,M,20.19,K08D 120055Z AUTO 27011G17KT 10SM FEW040 BKN075 OVC095 M01/M03 A2958 RMK AO2
BAC,2020-02-12 00:55,-98.0180,46.9412,427.30,26.60,23.00,86.07,210.00,18.00,0.00,29.68,M,10.00,24.00,CLR,M,M,M,M,M,M,M,-SN,M,M,M,M,M,M,12.64,KBAC 120055Z AUTO 21018G24KT 10SM -SN CLR M03/M05 A2968 RMK AO2
2D5,2020-02-12 00:55,-98.0799,46.1731,407.00,26.60,21.20,79.77,190.00,19.00,0.00,29.74,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,12.30,K2D5 120055Z AUTO 19019KT 10SM M03/M06 A2974 RMK AO2
5H4,2020-02-12 00:55,-99.9317,47.7912,489.00,28.40,23.00,79.92,220.00,9.00,0.00,29.61,M,10.00,M,BKN,OVC,M,M,7500.00,10000.00,M,M,M,M,M,M,M,M,M,19.04,K5H4 120055Z AUTO 22009KT 10SM BKN075 OVC100 M02/M05 A2961 RMK AO2
96D,2020-02-12 00:55,-97.9028,48.9406,287.00,30.20,21.20,68.83,200.00,10.00,0.00,29.58,M,10.00,19.00,BKN,OVC,M,M,7500.00,9500.00,M,M,M,M,M,M,M,M,M,20.71,K96D 120055Z AUTO 20010G19KT 10SM BKN075 OVC095 M01/M06 A2958 RMK AO2
GWR,2020-02-12 00:55,-97.6435,46.2187,385.00,26.60,23.00,86.07,210.00,15.00,0.00,29.75,M,10.00,M,SCT,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,13.78,KGWR 120055Z AUTO 21015KT 10SM SCT110 M03/M05 A2975 RMK A01
S32,2020-02-12 00:55,-98.1059,47.4228,434.00,28.40,26.60,92.86,200.00,14.00,0.00,29.64,M,10.00,M,BKN,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,16.52,KS32 120055Z AUTO 20014KT 10SM BKN120 M02/M03 A2964 RMK AO2
MIB,2020-02-12 00:56,-101.3580,48.4158,508.00,32.40,23.00,67.94,270.00,11.00,0.00,29.56,1003.90,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,22.97,KMIB 120056Z AUTO 27011KT 10SM CLR 00/M05 A2956 RMK AO2 SLP039 T00021050 $
DVL,2020-02-12 00:56,-98.9083,48.1146,443.00,28.00,23.00,81.25,210.00,10.00,0.00,29.60,1061.30,10.00,M,BKN,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,17.95,KDVL 120056Z AUTO 21010KT 10SM BKN110 M02/M05 A2960 RMK AO2 SLP613 T10221050 FZRANO
DIK,2020-02-12 00:56,-102.8019,46.7973,789.00,32.00,18.00,55.82,260.00,12.00,0.00,29.60,1005.80,10.00,M,OVC,M,M,M,4400.00,M,M,M,M,M,M,M,27.00,260.00,2020-02-11 23:57,22.00,KDIK 120056Z AUTO 26012KT 10SM OVC044 00/M08 A2960 RMK AO2 PK WND 26027/2357 SLP058 T00001078 $
RDR,2020-02-12 00:56,-97.4012,47.9611,278.00,28.80,22.80,77.97,210.00,11.00,0.00,29.65,1006.10,10.00,M,BKN,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,18.42,KRDR 120056Z 21011KT 10SM BKN120 M02/M05 A2965 RMK AO2A SLP061 T10181051
JMS,2020-02-12 00:56,-98.6800,46.9300,457.00,30.00,21.90,71.48,210.00,13.00,0.00,29.65,1006.00,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,19.01,KJMS 120056Z AUTO 21013KT 10SM CLR M01/M06 A2965 RMK AO2 SLP060 T10111056
XWA,2020-02-12 01:00,-103.7505,48.2597,710.85,30.00,27.00,88.44,240.00,8.00,T,29.58,M,2.00,M,FEW,BKN,OVC,M,700.00,1400.00,3000.00,M,-SN BR,M,M,M,M,M,M,21.65,KXWA 120100Z AUTO 24008KT 2SM -SN BR FEW007 BKN014 OVC030 M01/M03 A2958 RMK AO2 P0000 T10111028 TSNO $
XWA,2020-02-12 01:14,-103.7505,48.2597,710.85,30.00,27.00,88.44,240.00,7.00,T,29.58,M,2.50,M,SCT,BKN,OVC,M,700.00,1600.00,2700.00,M,-SN BR,M,M,M,M,M,M,22.34,KXWA 120114Z AUTO 24007KT 2 1/2SM -SN BR SCT007 BKN016 OVC027 M01/M03 A2958 RMK AO2 P0000 T10111028 TSNO $
BWP,2020-02-12 01:15,-96.6074,46.2441,294.70,26.60,19.40,73.89,170.00,12.00,0.00,29.80,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,15.13,KBWP 120115Z AUTO 17012KT 10SM M03/M07 A2980 RMK AO1
46D,2020-02-12 01:15,-99.1513,47.4511,489.80,32.00,23.00,69.04,230.00,18.00,0.00,29.62,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,19.75,K46D 120115Z AUTO 23018KT 10SM CLR M00/M05 A2962 RMK AO2
7L2,2020-02-12 01:15,-100.2456,46.2206,541.00,30.20,21.20,68.83,210.00,11.00,0.00,29.69,M,10.00,M,SCT,BKN,M,M,9500.00,12000.00,M,M,M,M,M,M,M,M,M,20.19,K7L2 120115Z AUTO 21011KT 10SM SCT095 BKN120 M01/M06 A2969 RMK AO2
GAF,2020-02-12 01:15,-97.3709,48.4047,251.00,26.60,23.00,86.07,180.00,10.00,0.00,29.65,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,16.20,KGAF 120115Z AUTO 18010KT 10SM CLR M03/M05 A2965 RMK AO2
